_id,casa circondariale,anno_rilevazione_detenuti,indicatori,detenuti
161,Casa di Reclusione Opera,2018,detenuti stranieri Sud America,35
162,Casa di Reclusione Opera,2018,detenuti stranieri Altra provenienza,1
163,Casa Circondariale S.Vittore,2017,Capienza regolamentare,828
164,Casa Circondariale S.Vittore,2017,Detenuti presenti al 31.12,1024
165,Casa Circondariale S.Vittore,2017,detenuti stranieri totale,641
166,Casa Circondariale S.Vittore,2017,detenuti stranieri Ue,72
167,Casa Circondariale S.Vittore,2017,detenuti stranieri Ex Jugoslavia,15
168,Casa Circondariale S.Vittore,2017,detenuti stranieri Albania,54
169,Casa Circondariale S.Vittore,2017,detenuti stranieri Altri paesi europei,12
170,Casa Circondariale S.Vittore,2017,detenuti stranieri Tunisia,33
171,Casa Circondariale S.Vittore,2017,detenuti stranieri Marocco,167
172,Casa Circondariale S.Vittore,2017,detenuti stranieri Algeria,20
173,Casa Circondariale S.Vittore,2017,detenuti stranieri Nigeria,11
174,Casa Circondariale S.Vittore,2017,detenuti stranieri Altri paesi africani,116
175,Casa Circondariale S.Vittore,2017,detenuti stranieri Medio oriente,17
176,Casa Circondariale S.Vittore,2017,detenuti stranieri Altri paesi asiatici,47
177,Casa Circondariale S.Vittore,2017,detenuti stranieri Nord America,2
178,Casa Circondariale S.Vittore,2017,detenuti stranieri Centro America,15
179,Casa Circondariale S.Vittore,2017,detenuti stranieri Sud America,58
180,Casa Circondariale S.Vittore,2017,detenuti stranieri Altra provenienza,2
181,Casa di Reclusione Bollate,2017,Capienza regolamentare,1252
182,Casa di Reclusione Bollate,2017,Detenuti presenti al 31.12,1242
183,Casa di Reclusione Bollate,2017,detenuti stranieri totale,434
184,Casa di Reclusione Bollate,2017,detenuti stranieri Ue,57
185,Casa di Reclusione Bollate,2017,detenuti stranieri Ex Jugoslavia,19
186,Casa di Reclusione Bollate,2017,detenuti stranieri Albania,51
187,Casa di Reclusione Bollate,2017,detenuti stranieri Altri paesi europei,11
188,Casa di Reclusione Bollate,2017,detenuti stranieri Tunisia,16
189,Casa di Reclusione Bollate,2017,detenuti stranieri Marocco,87
190,Casa di Reclusione Bollate,2017,detenuti stranieri Algeria,7
191,Casa di Reclusione Bollate,2017,detenuti stranieri Nigeria,3
192,Casa di Reclusione Bollate,2017,detenuti stranieri Altri paesi africani,39
193,Casa di Reclusione Bollate,2017,detenuti stranieri Medio oriente,7
194,Casa di Reclusione Bollate,2017,detenuti stranieri Altri paesi asiatici,32
195,Casa di Reclusione Bollate,2017,detenuti stranieri Nord America,0
196,Casa di Reclusione Bollate,2017,detenuti stranieri Centro America,25
197,Casa di Reclusione Bollate,2017,detenuti stranieri Sud America,78
198,Casa di Reclusione Bollate,2017,detenuti stranieri Altra provenienza,1
199,Casa di Reclusione Opera,2017,Capienza regolamentare,918
200,Casa di Reclusione Opera,2017,Detenuti presenti al 31.12,1351
201,Casa di Reclusione Opera,2017,detenuti stranieri totale,367
202,Casa di Reclusione Opera,2017,detenuti stranieri Ue,50
203,Casa di Reclusione Opera,2017,detenuti stranieri Ex Jugoslavia,17
204,Casa di Reclusione Opera,2017,detenuti stranieri Albania,63
205,Casa di Reclusione Opera,2017,detenuti stranieri Altri paesi europei,6
206,Casa di Reclusione Opera,2017,detenuti stranieri Tunisia,26
207,Casa di Reclusione Opera,2017,detenuti stranieri Marocco,75
208,Casa di Reclusione Opera,2017,detenuti stranieri Algeria,6
209,Casa di Reclusione Opera,2017,detenuti stranieri Nigeria,2
210,Casa di Reclusione Opera,2017,detenuti stranieri Altri paesi africani,31
211,Casa di Reclusione Opera,2017,detenuti stranieri Medio oriente,3
212,Casa di Reclusione Opera,2017,detenuti stranieri Altri paesi asiatici,29
213,Casa di Reclusione Opera,2017,detenuti stranieri Nord America,1
214,Casa di Reclusione Opera,2017,detenuti stranieri Centro America,16
215,Casa di Reclusione Opera,2017,detenuti stranieri Sud America,42
216,Casa di Reclusione Opera,2017,detenuti stranieri Altra provenienza,0
217,Casa Circondariale S.Vittore,2016,Capienza regolamentare,750
218,Casa Circondariale S.Vittore,2016,Detenuti presenti al 31.12,932
219,Casa Circondariale S.Vittore,2016,detenuti stranieri totale,568
220,Casa Circondariale S.Vittore,2016,detenuti stranieri Ue,91
221,Casa Circondariale S.Vittore,2016,detenuti stranieri Ex Jugoslavia,18
222,Casa Circondariale S.Vittore,2016,detenuti stranieri Albania,58
223,Casa Circondariale S.Vittore,2016,detenuti stranieri Altri paesi europei,10
224,Casa Circondariale S.Vittore,2016,detenuti stranieri Tunisia,30
225,Casa Circondariale S.Vittore,2016,detenuti stranieri Marocco,131
226,Casa Circondariale S.Vittore,2016,detenuti stranieri Algeria,10
227,Casa Circondariale S.Vittore,2016,detenuti stranieri Nigeria,5
228,Casa Circondariale S.Vittore,2016,detenuti stranieri Altri paesi africani,86
229,Casa Circondariale S.Vittore,2016,detenuti stranieri Medio oriente,5
230,Casa Circondariale S.Vittore,2016,detenuti stranieri Altri paesi asiatici,49
231,Casa Circondariale S.Vittore,2016,detenuti stranieri Nord America,1
232,Casa Circondariale S.Vittore,2016,detenuti stranieri Centro America,16
233,Casa Circondariale S.Vittore,2016,detenuti stranieri Sud America,57
234,Casa Circondariale S.Vittore,2016,detenuti stranieri Altra provenienza,1
235,Casa di Reclusione Bollate,2016,Capienza regolamentare,1249
236,Casa di Reclusione Bollate,2016,Detenuti presenti al 31.12,1179
237,Casa di Reclusione Bollate,2016,detenuti stranieri totale,438
238,Casa di Reclusione Bollate,2016,detenuti stranieri Ue,64
239,Casa di Reclusione Bollate,2016,detenuti stranieri Ex Jugoslavia,19
240,Casa di Reclusione Bollate,2016,detenuti stranieri Albania,64
241,Casa di Reclusione Bollate,2016,detenuti stranieri Altri paesi europei,12
242,Casa di Reclusione Bollate,2016,detenuti stranieri Tunisia,21
243,Casa di Reclusione Bollate,2016,detenuti stranieri Marocco,79
244,Casa di Reclusione Bollate,2016,detenuti stranieri Algeria,6
245,Casa di Reclusione Bollate,2016,detenuti stranieri Nigeria,9
246,Casa di Reclusione Bollate,2016,detenuti stranieri Altri paesi africani,34
247,Casa di Reclusione Bollate,2016,detenuti stranieri Medio oriente,6
248,Casa di Reclusione Bollate,2016,detenuti stranieri Altri paesi asiatici,35
249,Casa di Reclusione Bollate,2016,detenuti stranieri Nord America,1
250,Casa di Reclusione Bollate,2016,detenuti stranieri Centro America,21
251,Casa di Reclusione Bollate,2016,detenuti stranieri Sud America,66
252,Casa di Reclusione Bollate,2016,detenuti stranieri Altra provenienza,1
253,Casa di Reclusione Opera,2016,Capienza regolamentare,905
254,Casa di Reclusione Opera,2016,Detenuti presenti al 31.12,1234
255,Casa di Reclusione Opera,2016,detenuti stranieri totale,349
256,Casa di Reclusione Opera,2016,detenuti stranieri Ue,50
257,Casa di Reclusione Opera,2016,detenuti stranieri Ex Jugoslavia,17
258,Casa di Reclusione Opera,2016,detenuti stranieri Albania,63
259,Casa di Reclusione Opera,2016,detenuti stranieri Altri paesi europei,7
260,Casa di Reclusione Opera,2016,detenuti stranieri Tunisia,19
261,Casa di Reclusione Opera,2016,detenuti stranieri Marocco,76
262,Casa di Reclusione Opera,2016,detenuti stranieri Algeria,9
263,Casa di Reclusione Opera,2016,detenuti stranieri Nigeria,1
264,Casa di Reclusione Opera,2016,detenuti stranieri Altri paesi africani,25
265,Casa di Reclusione Opera,2016,detenuti stranieri Medio oriente,3
266,Casa di Reclusione Opera,2016,detenuti stranieri Altri paesi asiatici,29
267,Casa di Reclusione Opera,2016,detenuti stranieri Nord America,1
268,Casa di Reclusione Opera,2016,detenuti stranieri Centro America,11
269,Casa di Reclusione Opera,2016,detenuti stranieri Sud America,38
