Anno;Cittadinanza;Continente;Genere;Residenti
1988;Denmark;Europa;Femmine;48
1988;Denmark;Europa;Maschi;34
1988;Dominicana, Rep.;Centro America;Femmine;55
1988;Dominicana, Rep.;Centro America;Maschi;9
1988;Ecuador;Sud America;Femmine;26
1988;Ecuador;Sud America;Maschi;8
1988;Egypt;Africa;Femmine;911
1988;Egypt;Africa;Maschi;2663
1988;El Salvador;Centro America;Femmine;375
1988;El Salvador;Centro America;Maschi;119
1988;Ethiopia;Africa;Femmine;1209
1988;Ethiopia;Africa;Maschi;679
1988;Philippines;Asia;Femmine;1045
1988;Philippines;Asia;Maschi;272
1988;Finland;Europa;Femmine;30
1988;Finland;Europa;Maschi;17
1988;France;Europa;Femmine;1186
1988;France;Europa;Maschi;1009
1988;Gabon;Africa;Femmine;2
1988;Gambia;Africa;Maschi;3
1988;Germany;Europa;Femmine;1134
1988;Germany;Europa;Maschi;1028
1988;Germany Democratica;Europa;Femmine;2
1988;Ghana;Africa;Femmine;6
1988;Ghana;Africa;Maschi;11
1988;Jamaica;Centro America;Femmine;4
1988;Jamaica;Centro America;Maschi;2
1988;Japan;Asia;Femmine;585
1988;Japan;Asia;Maschi;698
1988;Jordan;Asia;Femmine;6
1988;Jordan;Asia;Maschi;160
1988;Greece;Europa;Femmine;317
1988;Greece;Europa;Maschi;630
1988;Guatemala;Centro America;Femmine;11
1988;Guatemala;Centro America;Maschi;5
1988;Guinea;Africa;Femmine;1
1988;Guinea;Africa;Maschi;16
1988;Guinea Bissau;Africa;Maschi;1
1988;Haiti;Centro America;Femmine;25
1988;Haiti;Centro America;Maschi;4
1988;Honduras;Centro America;Femmine;3
1988;Honduras;Centro America;Maschi;1
1988;India;Asia;Femmine;99
1988;India;Asia;Maschi;90
1988;Indonesia;Asia;Femmine;13
1988;Indonesia;Asia;Maschi;10
1988;Iran;Asia;Femmine;466
1988;Iran;Asia;Maschi;656
1988;Iraq;Asia;Femmine;24
1988;Iraq;Asia;Maschi;52
1988;Ireland;Europa;Femmine;54
1988;Ireland;Europa;Maschi;40
1988;Iceland;Europa;Femmine;3
1988;Iceland;Europa;Maschi;3
1988;Israel;Europa;Femmine;395
1988;Israel;Europa;Maschi;546
1988;Jugoslavia (Serbia-Montenegro);Europa;Femmine;468
1988;Jugoslavia (Serbia-Montenegro);Europa;Maschi;452
1988;Kenya;Africa;Femmine;3
1988;Kenya;Africa;Maschi;8
1988;Lebanon;Asia;Femmine;138
1988;Lebanon;Asia;Maschi;245
1988;Liberia;Africa;Femmine;1
1988;Liberia;Africa;Maschi;3
1988;Libya;Africa;Femmine;62
1988;Libya;Africa;Maschi;78
1988;Liechtenstein;Europa;Femmine;1
1988;Luxembourg;Europa;Femmine;5
1988;Luxembourg;Europa;Maschi;9
1988;Madagascar;Africa;Femmine;5
1988;Madagascar;Africa;Maschi;2
1988;Malaysia;Asia;Femmine;4
1988;Malaysia;Asia;Maschi;12
1988;Mali;Africa;Femmine;1
1988;Mali;Africa;Maschi;1
1988;Malta;Europa;Femmine;14
1988;Malta;Europa;Maschi;8
1988;Morocco;Africa;Femmine;117
1988;Morocco;Africa;Maschi;409
1988;Mauritius;Africa;Femmine;69
1988;Mauritius;Africa;Maschi;43
1988;Mexico;Centro America;Femmine;43
1988;Mexico;Centro America;Maschi;47
1988;Mozambique;Africa;Femmine;2
1988;Mozambique;Africa;Maschi;6
1988;Myanmar (ex Birmania);Asia;Femmine;1
1988;Nepal;Asia;Femmine;1
1988;Nepal;Asia;Maschi;3
1988;Nicaragua;Centro America;Femmine;5
1988;Nicaragua;Centro America;Maschi;4
