_id,anno_rilevamento_reato,Reati_denunciati_tipologia,reati_denunciati
322,2018,Violazione della propriet? intellettuale,14
323,2018,Ricettazione,966
324,2018,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",34
325,2018,Usura,6
326,2018,Danneggiamenti,15419
327,2018,Incendi totale,87
328,2018,Incendi boschivi,0
329,2018,Danneggiamento seguito da incendio,137
330,2018,Normativa sugli stupefacenti,2046
331,2018,Attentati,4
332,2018,Associazione per delinquere,15
333,2018,Associazione di tipo mafioso,1
334,2018,Contrabbando,""
335,2018,Altri delitti,16481
336,2018,Reati totale,143453
337,2017,Strage,0
338,2017,Omicidi volontari totale,11
339,2017,Omicidi a scopo di furto o rapina,2
340,2017,Omicidi di tipo mafioso,0
341,2017,Omicidi a scopo terroristico,0
342,2017,Tentati omicidi,45
343,2017,Infanticidi,0
344,2017,Omicidi preterintenzionali,1
345,2017,Omicidi colposi totale,47
346,2017,Omicidi colposi da incidente stradale,29
347,2017,Percosse,642
348,2017,Lesioni dolose,2223
349,2017,Minacce,2137
350,2017,Sequestri di persona,44
351,2017,Ingiurie,58
352,2017,Violenze sessuali,305
353,2017,Atti sessuali con minorenne,20
354,2017,Corruzione di minorenne,5
355,2017,Sfruttamento e favoreggiamento della prostituzione,21
356,2017,Pornografia minorile e detenzione di materiale pedopornografico,29
357,2017,Furti,93654
358,2017,furti con strappo,1559
359,2017,Furti  con destrezza,21775
360,2017,Furti  in abitazioni,7080
361,2017,Furti  in esercizi commerciali,6938
362,2017,Furti  in auto in sosta,12851
363,2017,Furti  di opere d'arte e materiale archeologico,17
364,2017,Furti di automezzi pesanti trasportanti merci,7
365,2017,Furti di ciclomotori,875
366,2017,Furti di motocicli,3019
367,2017,Furti di autovetture,5679
368,2017,Rapine totale,2960
369,2017,Rapine in abitazione,103
370,2017,Rapine in banca,20
371,2017,Rapine in uffici postali,5
372,2017,Rapine in esercizi commerciali,318
373,2017,Rapine in pubblica via,2045
374,2017,Estorsioni,327
375,2017,Truffe e frodi informatiche,8225
376,2017,Delitti informatici,502
377,2017,Contraffazione di marchi e prodotti industriali,142
378,2017,Violazione della propriet? intellettuale,18
379,2017,Ricettazione,916
380,2017,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",37
381,2017,Usura,7
382,2017,Danneggiamenti,15329
383,2017,Incendi totale,93
384,2017,Incendi boschivi,0
385,2017,Danneggiamento seguito da incendio,128
386,2017,Normativa sugli stupefacenti,1875
387,2017,Attentati,7
388,2017,Associazione per delinquere,11
389,2017,Associazione di tipo mafioso,0
390,2017,Contrabbando,""
391,2017,Altri delitti,18409
392,2017,Reati totale,148228
393,2016,Strage,1
394,2016,Omicidi volontari totale,10
395,2016,Omicidi a scopo di furto o rapina,1
396,2016,Omicidi di tipo mafioso,0
397,2016,Omicidi a scopo terroristico,0
398,2016,Tentati omicidi,36
399,2016,Infanticidi,0
400,2016,Omicidi preterintenzionali,0
401,2016,Omicidi colposi totale,34
402,2016,Omicidi colposi da incidente stradale,24
403,2016,Percosse,655
404,2016,Lesioni dolose,2284
405,2016,Minacce,2180
406,2016,Sequestri di persona,29
407,2016,Ingiurie,442
408,2016,Violenze sessuali,306
409,2016,Atti sessuali con minorenne,18
410,2016,Corruzione di minorenne,6
411,2016,Sfruttamento e favoreggiamento della prostituzione,25
412,2016,Pornografia minorile e detenzione di materiale pedopornografico,18
413,2016,Furti,95651
414,2016,furti con strappo,1503
415,2016,Furti  con destrezza,21512
416,2016,Furti  in abitazioni,8156
417,2016,Furti  in esercizi commerciali,7092
418,2016,Furti  in auto in sosta,14118
419,2016,Furti  di opere d'arte e materiale archeologico,23
420,2016,Furti di automezzi pesanti trasportanti merci,15
421,2016,Furti di ciclomotori,814
422,2016,Furti di motocicli,2922
423,2016,Furti di autovetture,6274
424,2016,Rapine totale,2829
425,2016,Rapine in abitazione,135
426,2016,Rapine in banca,41
427,2016,Rapine in uffici postali,15
428,2016,Rapine in esercizi commerciali,334
429,2016,Rapine in pubblica via,1778
430,2016,Estorsioni,292
431,2016,Truffe e frodi informatiche,5697
432,2016,Delitti informatici,466
433,2016,Contraffazione di marchi e prodotti industriali,114
434,2016,Violazione della propriet? intellettuale,9
435,2016,Ricettazione,887
436,2016,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",24
437,2016,Usura,4
438,2016,Danneggiamenti,15171
439,2016,Incendi totale,110
440,2016,Incendi boschivi,0
441,2016,Danneggiamento seguito da incendio,133
442,2016,Normativa sugli stupefacenti,1583
443,2016,Attentati,3
444,2016,Associazione per delinquere,9
445,2016,Associazione di tipo mafioso,0
446,2016,Contrabbando,0
447,2016,Altri delitti,20269
448,2016,Reati totale,149295
449,2015,Strage,1
450,2015,Omicidi volontari totale,13
451,2015,Omicidi a scopo di furto o rapina,0
452,2015,Omicidi di tipo mafioso,0
453,2015,Omicidi a scopo terroristico,0
454,2015,Tentati omicidi,41
455,2015,Infanticidi,0
456,2015,Omicidi preterintenzionali,1
457,2015,Omicidi colposi totale,31
458,2015,Omicidi colposi da incidente stradale,20
459,2015,Percosse,657
460,2015,Lesioni dolose,2448
461,2015,Minacce,2290
462,2015,Sequestri di persona,42
463,2015,Ingiurie,1286
464,2015,Violenze sessuali,284
465,2015,Atti sessuali con minorenne,20
466,2015,Corruzione di minorenne,7
467,2015,Sfruttamento e favoreggiamento della prostituzione,37
468,2015,Pornografia minorile e detenzione di materiale pedopornografico,26
469,2015,Furti,95905
470,2015,furti con strappo,1566
471,2015,Furti  con destrezza,20935
472,2015,Furti  in abitazioni,8524
473,2015,Furti  in esercizi commerciali,7357
474,2015,Furti  in auto in sosta,14391
475,2015,Furti  di opere d'arte e materiale archeologico,19
476,2015,Furti di automezzi pesanti trasportanti merci,22
477,2015,Furti di ciclomotori,1002
478,2015,Furti di motocicli,3327
479,2015,Furti di autovetture,6587
480,2015,Rapine totale,2908
481,2015,Rapine in abitazione,145
482,2015,Rapine in banca,32
483,2015,Rapine in uffici postali,6
484,2015,Rapine in esercizi commerciali,390
485,2015,Rapine in pubblica via,1860
486,2015,Estorsioni,319
487,2015,Truffe e frodi informatiche,5293
488,2015,Delitti informatici,444
489,2015,Contraffazione di marchi e prodotti industriali,163
490,2015,Violazione della propriet? intellettuale,12
491,2015,Ricettazione,1025
492,2015,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",44
493,2015,Usura,3
494,2015,Danneggiamenti,17733
495,2015,Incendi totale,105
496,2015,Incendi boschivi,1
497,2015,Danneggiamento seguito da incendio,96
498,2015,Normativa sugli stupefacenti,1511
499,2015,Attentati,9
500,2015,Associazione per delinquere,18
501,2015,Associazione di tipo mafioso,0
502,2015,Contrabbando,3
503,2015,Altri delitti,19231
504,2015,Reati totale,152006
505,2014,Strage,0
506,2014,Omicidi volontari totale,17
507,2014,Omicidi a scopo di furto o rapina,2
508,2014,Omicidi di tipo mafioso,0
509,2014,Omicidi a scopo terroristico,0
510,2014,Tentati omicidi,42
511,2014,Infanticidi,0
512,2014,Omicidi preterintenzionali,1
513,2014,Omicidi colposi totale,44
514,2014,Omicidi colposi da incidente stradale,33
515,2014,Percosse,600
516,2014,Lesioni dolose,2259
517,2014,Minacce,2272
518,2014,Sequestri di persona,49
519,2014,Ingiurie,1294
520,2014,Violenze sessuali,244
521,2014,Atti sessuali con minorenne,19
